Start,Origin time,End,Quality,dV,V_ICME,V_max,B,Dst_min,Vtransit,LASSO CME
1996-05-27 15:00:00,1996/05/27 1500,1996-05-29 03:00:00,2,0,370.0,400.0,9.0,-33,,
1996-07-01 18:00:00,1996/07/01 1320,1996-07-02 11:00:00,3,40,360.0,370.0,11.0,-20,,
1996-08-07 12:00:00,1996/08/07 0600,1996-08-08 10:00:00,2,10,350.0,380.0,7.0,-23,,
1996-12-23 17:00:00,1996/12/23 1600,1996-12-25 11:00:00,2,20,360.0,420.0,10.0,-18,435,1996/12/19 1630 H
1997-01-10 04:00:00,1997/01/10 0104,1997-01-11 02:00:00,1,100 S,450.0,460.0,14.0,-78,507,1997/01/06 1510 H
1997-02-10 02:00:00,1997/02/09 1321,1997-02-10 19:00:00,2,90 S,450.0,600.0,8.0,-68,683,1997/02/07 0030 H
1997-04-11 06:00:00,1997/04/10 1745,1997-04-11 19:00:00,1,150,460.0,470.0,20.0,-82,552,1997/04/07 1427 H
1997-04-21 10:00:00,1997/04/21 0600,1997-04-23 04:00:00,2,40,360.0,420.0,12.0,-107,,
1997-05-15 09:00:00,1997/05/15 0159,1997-05-16 00:00:00,1,150 S,450.0,480.0,21.0,-115,616,1997/05/12 0530 H
1997-05-26 16:00:00,1997/05/26 0957,1997-05-27 10:00:00,2,70 S,340.0,350.0,10.0,-74,381,1997/05/21 2100
1997-06-08 18:00:00,1997/06/08 1636,1997-06-10 00:00:00,3,30,380.0,400.0,12.0,-84,,
1997-06-19 07:00:00,1997/06/19 0032,1997-06-20 23:00:00,2,60,360.0,390.0,8.0,-36,,
1997-07-15 08:00:00,1997/07/15 0311,1997-07-16 11:00:00,2,80,350.0,360.0,10.0,-45,,
1997-08-03 13:00:00,1997/08/03 1042,1997-08-04 03:00:00,1,80,400.0,480.0,16.0,-48,410,1997/07/30 0445 H
1997-08-17 06:00:00,1997/08/17 0200,1997-08-17 20:00:00,2W,60,390.0,410.0,7.0,-28,,
1997-09-03 13:00:00,1997/09/03 0800,1997-09-03 21:00:00,3W,40 S,410.0,430.0,14.0,-98,405,1997/08/30 0130 H
1997-09-21 21:00:00,1997/09/21 1651,1997-09-22 16:00:00,1,110,440.0,470.0,16.0,-36,450,1997/09/17 2028 H
1997-10-01 16:00:00,1997/10/01 0059,1997-10-02 23:00:00,1,60 S,450.0,470.0,10.0,-98,580,1997/09/28 0108 H
1997-10-10 11:00:00,1997/10/10 0300,1997-10-10 22:00:00,2,30,430.0,460.0,8.0,-64,,
1997-10-10 22:00:00,1997/10/10 1612,1997-10-12 00:00:00,1,40 S,400.0,450.0,12.0,-130,430,1997/10/06 1528
1997-10-27 00:00:00,1997/10/26 1200,1997-10-28 07:00:00,2,40,500.0,520.0,7.0,-60,572,1997/10/23 1126 H
1997-11-07 04:00:00,1997/11/06 2248,1997-11-09 12:00:00,2,140 S,400.0,460.0,11.0,-110,640,1997/11/04 0610 H
1997-11-22 19:00:00,1997/11/22 0949,1997-11-23 14:00:00,1,170 S,510.0,520.0,17.0,-108,640,dg (1997/11/19 1700)
1997-11-24 00:00:00,1997/11/23 1900,1997-11-25 00:00:00,2,100,530.0,590.0,5.0,-47,,
1997-12-10 18:00:00,1997/12/10 0526,1997-12-12 00:00:00,2,50 S,350.0,380.0,12.0,-60,460,1997/12/06 1027
1997-12-30 10:00:00,1997/12/30 0209,1997-12-31 11:00:00,3,50 S,370.0,410.0,12.0,-77,430,1997/12/26 0231
1998-01-07 01:00:00,1998/01/06 1416,1998-01-08 22:00:00,2,80 S,400.0,410.0,16.0,-77,480,1998/01/02 2328 H
1998-01-09 07:00:00,1998/01/09 0700,1998-01-10 08:00:00,2,0,450.0,500.0,6.0,-28,,
1998-01-20 17:00:00,1998/01/20 0000,1998-01-21 04:00:00,3W,50,430.0,450.0,5.0,-29,,
1998-01-21 06:00:00,1998/01/21 0400,1998-01-22 13:00:00,3W,0,380.0,400.0,13.0,-11,430,1998/01/17 0409 H
1998-01-29 20:00:00,1998/01/28 1600(A),1998-01-31 01:00:00,2,30 S,380.0,410.0,7.0,-55,557,1998/01/25 1526 H
1998-02-04 04:00:00,1998/02/04 0000,1998-02-05 23:00:00,1,50,320.0,390.0,11.0,-34,,
1998-02-17 10:00:00,1998/02/17 0400,1998-02-17 21:00:00,2W,30,400.0,420.0,12.0,-100,602,1998/02/14 0655
1998-02-19 01:00:00,1998/02/18 0750(A),1998-02-20 00:00:00,2,20 S,440.0,460.0,9.0,-51,,
1998-03-04 13:00:00,1998/03/04 1156,1998-03-06 09:00:00,1,30 S,350.0,380.0,12.0,-36,440,1998/02/28 1248
1998-03-25 13:00:00,1998/03/25 1000,1998-03-26 10:00:00,1,20,400.0,400.0,10.0,-56,,
1998-03-31 11:00:00,1998/03/30 2200,1998-04-03 02:00:00,1,30,360.0,430.0,7.0,-35,,
1998-04-11 23:00:00,1998/04/11 2300,1998-04-13 18:00:00,3W,20,390.0,390.0,8.0,-46,,
1998-05-02 05:00:00,1998/05/01 2156,1998-05-04 02:00:00,1,150 S,520.0,650.0,11.0,-85,780,1998/04/29 1658 H
1998-05-04 10:00:00,1998/05/04 0215(A),1998-05-07 23:00:00,2,250 Wv,550.0,830.0,10.0,-205,1150,1998/05/02 1406 H(p)
1998-06-02 10:00:00,1998/06/02 0800,1998-06-02 18:00:00,2,10,390.0,400.0,9.0,-1,,
1998-06-14 04:00:00,1998/06/13 1925,1998-06-15 06:00:00,3,80 S,340.0,380.0,10.0,-55,,
1998-06-24 16:00:00,1998/06/24 1000,1998-06-25 23:00:00,2,80,450.0,540.0,12.0,-25,,1998/06/21 0535?
1998-06-26 04:00:00,1998/06/25 1636,1998-06-26 19:00:00,2,30 S,470.0,490.0,11.0,-101,,
1998-07-06 06:00:00,1998/07/05 0315(A),1998-07-09 07:00:00,1,50 S,450.0,630.0,5.0,-30,dg,dg
1998-07-11 00:00:00,1998/07/10 2300,1998-07-13 15:00:00,3W,20,400.0,430.0,10.0,-35,dg,dg
1998-08-01 04:00:00,1998/08/01 0400,1998-08-03 10:00:00,3,30,410.0,450.0,7.0,-6,dg,dg
1998-08-05 13:00:00,1998/08/05 1300,1998-08-06 12:00:00,2W,0,360.0,390.0,8.0,-138,dg,dg
1998-08-07 23:00:00,1998/08/07 1100,1998-08-09 23:00:00,2,0,450.0,500.0,7.0,-62,dg,dg
1998-08-10 11:00:00,1998/08/10 0046,1998-08-10 22:00:00,3W,100 S,450.0,500.0,7.0,-27,dg,dg
1998-08-12 01:00:00,1998/08/11 2300,1998-08-13 14:00:00,3W,20,370.0,420.0,8.0,-19,dg,dg
1998-08-20 06:00:00,1998/08/19 1847,1998-08-21 20:00:00,1,50 S,320.0,340.0,13.0,-67,dg,dg
1998-08-26 22:00:00,1998/08/26 0651,1998-08-28 00:00:00,2,200 S,650.0,860.0,14.0,-155,1260,dg (1998/08/24 2200)
1998-09-23 04:00:00,1998/09/23 0200,1998-09-23 18:00:00,2,80,420.0,490.0,7.0,-33,dg,dg
1998-09-25 06:00:00,1998/09/24 2345,1998-09-26 16:00:00,1,300 S,640.0,820.0,13.0,-207,1020,dg (1998/09/23 0700)
1998-10-19 04:00:00,1998/10/18 1952,1998-10-20 07:00:00,1,50 S,390.0,430.0,18.0,-112,510,1998/10/15 1004 H
1998-10-23 15:00:00,1998/10/23 1230(A),1998-10-24 16:00:00,3,50 S,520.0,600.0,7.0,-52,,
1998-11-07 22:00:00,1998/11/07 0815,1998-11-09 01:00:00,2,130 S,450.0,530.0,15.0,-81,570,1998/11/04 0754 H
1998-11-09 01:00:00,1998/11/08 0451,1998-11-11 01:00:00,2,200 S,450.0,640.0,12.0,-149,740,1998/11/05 2044 H
1998-11-13 02:00:00,1998/11/13 0143,1998-11-14 12:00:00,3,50,390.0,400.0,17.0,-131,520,1998/11/09 1818
1998-11-30 21:00:00,1998/11/30 0507,1998-12-01 04:00:00,2,100 S,470.0,480.0,9.0,-15,,
1998-12-29 18:00:00,1998/12/28 1826,1998-12-31 02:00:00,2,30 S,400.0,410.0,8.0,-58,dg,dg
1999-01-04 04:00:00,1999/01/04 0000,1999-01-04 22:00:00,3W,20,350.0,360.0,8.0,-29,dg,dg
1999-01-13 15:00:00,1999/01/13 1054,1999-01-13 23:00:00,2,70 S,420.0,430.0,18.0,-112,dg,dg
1999-01-23 09:00:00,1999/01/22 1950(A),1999-01-23 18:00:00,3,120 S,570.0,660.0,12.0,-52,dg,dg
1999-02-13 19:00:00,1999/02/13 1900,1999-02-14 15:00:00,3W,20,440.0,470.0,9.0,-17,,
1999-02-16 15:00:00,1999/02/16 1500,1999-02-17 11:00:00,3,0,460.0,470.0,6.0,-7,,
1999-02-17 16:00:00,1999/02/17 0709,1999-02-18 10:00:00,3,30 S,410.0,490.0,8.0,-34,,
1999-02-18 10:00:00,1999/02/18 0246,1999-02-20 17:00:00,2,250 S,540.0,680.0,9.0,-123,870,dg (1999/02/16 0312)
1999-03-10 17:00:00,1999/03/10 0130,1999-03-12 02:00:00,2,30 S,410.0,460.0,7.0,-81,,
1999-03-19 11:00:00,1999/03/19 1000,1999-03-20 12:00:00,3W,10,340.0,380.0,5.0,-30,,
1999-04-16 18:00:00,1999/04/16 1125,1999-04-17 19:00:00,1,50 S,410.0,460.0,18.0,-91,520,1999/04/13 0330 H
1999-04-21 04:00:00,1999/04/20 1600,1999-04-22 14:00:00,1,120,490.0,620.0,8.0,-29,,1999/04/18 0830?
1999-05-15 16:00:00,1999/05/15 1600,1999-05-18 00:00:00,3,0,390.0,400.0,5.0,-13,,
1999-06-02 23:00:00,1999/06/02 2000,1999-06-03 22:00:00,3,40,430.0,470.0,9.0,-6,,
1999-06-27 22:00:00,1999/06/26 2016,1999-06-29 04:00:00,3,100 S,670.0,860.0,7.0,-41,760,1999/06/24 1331 H
1999-07-03 05:00:00,1999/07/02 0059,1999-07-06 06:00:00,2,100 S,440.0,680.0,4.0,-26,,
1999-07-06 21:00:00,1999/07/06 1509,1999-07-07 02:00:00,2,50 S,460.0,500.0,10.0,-4,620,1999/07/03 1954
1999-07-07 07:00:00,1999/07/07 0600,1999-07-08 04:00:00,3,70,450.0,480.0,4.0,-1,,
1999-07-27 17:00:00,1999/07/26 2333(A),1999-07-29 12:00:00,3,30 S,390.0,460.0,6.0,-38,560,1999/07/23 2130
1999-07-30 20:00:00,1999/07/30 1600,1999-07-31 08:00:00,3,90,620.0,660.0,9.0,-52,710,1999/07/28 0530? H
1999-07-31 19:00:00,1999/07/31 1837,1999-08-02 06:00:00,3,100,480.0,650.0,5.0,-39,510,1999/07/28 0906 H
1999-08-02 15:00:00,1999/08/02 1100,1999-08-03 15:00:00,3,20,370.0,440.0,4.0,-16,,
1999-08-08 20:00:00,1999/08/08 1841,1999-08-10 17:00:00,2,20 S,360.0,410.0,9.0,-47,,
1999-08-12 03:00:00,1999/08/11 2300,1999-08-14 00:00:00,3,40,380.0,420.0,6.0,-13,615,1999/08/09 0326
1999-08-20 23:00:00,1999/08/20 2300,1999-08-23 11:00:00,2,0,460.0,570.0,7.0,-66,510,1999/08/17 1331
1999-09-21 12:00:00,1999/09/21 1200,1999-09-22 12:00:00,3,0,360.0,380.0,9.0,-41,,
1999-09-22 19:00:00,1999/09/22 1222,1999-09-24 03:00:00,1,120 S,530.0,600.0,11.0,-173,770,1999/09/20 0606 H
1999-10-21 08:00:00,1999/10/21 0225,1999-10-22 07:00:00,2,30 S,480.0,550.0,20.0,-237,561,1999/10/18 0006 H
1999-11-12 10:00:00,1999/11/11 1900,1999-11-13 18:00:00,2,50,450.0,680.0,5.0,-69,dg,dg
1999-11-13 20:00:00,1999/11/13 1200,1999-11-15 00:00:00,3W,50 S,440.0,480.0,7.0,-106,dg,dg
1999-11-22 00:00:00,1999/11/22 0000,1999-11-24 03:00:00,3,40,450.0,490.0,9.0,-41,dg,dg
1999-12-12 19:00:00,1999/12/12 1551,1999-12-13 16:00:00,2,300 S,520.0,700.0,12.0,-85,dg,dg
1999-12-14 04:00:00,1999/12/13 2300,1999-12-14 20:00:00,2,20,440.0,480.0,12.0,-33,dg,dg
1999-12-27 11:00:00,1999/12/26 2130(A),1999-12-28 04:00:00,3,50 S,430.0,450.0,8.0,-8,,
2000-01-22 17:00:00,2000/01/22 0023(A),2000-01-23 02:00:00,2,30 S,380.0,400.0,16.0,-97,530,2000/01/18 1754 H
2000-02-11 16:00:00,2000/02/11 0258,2000-02-11 20:00:00,1,60 S,420.0,510.0,7.0,-25,630,2000/02/08 0930 H
2000-02-12 12:00:00,2000/02/11 2352,2000-02-13 00:00:00,2,180 S,540.0,590.0,13.0,-133,915,2000/02/10 0230 H
2000-02-14 12:00:00,2000/02/14 0731,2000-02-16 08:00:00,3,100 S,520.0,680.0,5.0,-67,815,2000/02/12 0431 H
2000-02-21 05:00:00,2000/02/20 2139,2000-02-22 12:00:00,2,120 S,380.0,460.0,15.0,-26,560,2000/02/17 2006 H
2000-03-01 03:00:00,2000/03/01 0130,2000-03-02 03:00:00,1,20,480.0,530.0,8.0,-43,,
2000-03-19 02:00:00,2000/03/18 2200,2000-03-19 12:00:00,2,20,380.0,390.0,9.0,-3,,
2000-03-29 19:00:00,2000/03/29 1100,2000-04-01 00:00:00,2,280,420.0,590.0,7.0,-60,,
2000-04-07 06:00:00,2000/04/06 1639,2000-04-08 06:00:00,2,220 S,560.0,620.0,6.0,-288,860,2000/04/04 1632 H
2000-04-18 20:00:00,2000/04/18 2000,2000-04-19 14:00:00,3,30,460.0,470.0,10.0,-14,510,2000/04/15 1035?
2000-04-24 04:00:00,2000/04/24 0400,2000-04-24 13:00:00,3W,60,500.0,520.0,13.0,-61,,
2000-05-02 20:00:00,2000/05/02 1045(A),2000-05-05 10:00:00,3,150 S,500.0,860.0,6.0,-37,530,2000/04/29 0430?
2000-05-07 00:00:00,2000/05/07 0000,2000-05-08 00:00:00,3W,10,400.0,420.0,8.0,-10,,
2000-05-13 17:00:00,2000/05/13 1700,2000-05-14 18:00:00,2,100,500.0,600.0,8.0,-2,603,2000/05/10 2006
2000-05-15 19:00:00,2000/05/15 1900,2000-05-16 14:00:00,3,20,430.0,450.0,8.0,-32,,
2000-05-16 23:00:00,2000/05/16 2300,2000-05-17 07:00:00,2,130,550.0,580.0,9.0,-92,500,2000/05/13 1226
2000-05-23 09:00:00,2000/05/22 1700,2000-05-23 21:00:00,2,70,570.0,610.0,8.0,-10,830,2000/05/20 1450
2000-05-24 12:00:00,2000/05/23 2342(W),2000-05-27 10:00:00,2,50 S,530.0,690.0,5.0,-147,650,2000/05/21 0726
2000-06-04 22:00:00,2000/06/04 1502,2000-06-06 22:00:00,3,130 S,470.0,560.0,9.0,-35,403,2000/05/31 0806
2000-06-08 12:00:00,2000/06/08 0910,2000-06-10 17:00:00,2,260 S,610.0,770.0,11.0,-90,1007,2000/06/06 1554 H
2000-06-11 09:00:00,2000/06/11 0801,2000-06-11 18:00:00,2,40 S,510.0,530.0,11.0,-36,,
2000-06-13 12:00:00,2000/06/12 2208,2000-06-14 06:00:00,2,60,440.0,550.0,4.0,-37,,
2000-06-18 09:00:00,2000/06/18 0900,2000-06-18 17:00:00,3W,10,380.0,400.0,5.0,-12,,
2000-06-24 00:00:00,2000/06/23 1303,2000-06-26 08:00:00,1,120 S,500.0,590.0,10.0,-34,,
2000-06-26 10:00:00,2000/06/26 0000,2000-06-27 00:00:00,2,60,520.0,560.0,10.0,-76,,
2000-07-01 09:00:00,2000/07/01 0100,2000-07-03 17:00:00,2,20,390.0,440.0,7.0,-11,,
2000-07-11 02:00:00,2000/07/10 0638,2000-07-11 14:00:00,2,90 S,440.0,490.0,13.0,0,609,2000/07/07 1026 H
2000-07-11 22:00:00,2000/07/11 1123(A),2000-07-13 03:00:00,1,30 S,520.0,540.0,10.0,-26,,
2000-07-13 13:00:00,2000/07/13 0942,2000-07-14 15:00:00,3,200 S,610.0,670.0,7.0,-43,940,2000/07/11 1327 H
2000-07-14 17:00:00,2000/07/14 1532,2000-07-15 14:00:00,2,150 S,780.0,800.0,9.0,-57,,
2000-07-15 19:00:00,2000/07/15 1437,2000-07-17 08:00:00,2,350 S,740.0,1040.0,20.0,-301,1500,2000/07/14 1054 H
2000-07-20 01:00:00,2000/07/19 1527,2000-07-21 08:00:00,2,100 S,530.0,630.0,8.0,-93,,2000/07/17 0854?
2000-07-23 15:00:00,2000/07/23 1041,2000-07-26 05:00:00,3,20,360.0,430.0,9.0,-68,dg,dg
2000-07-27 02:00:00,2000/07/26 1857,2000-07-28 02:00:00,2,50 S,360.0,400.0,6.0,-42,490,2000/07/23 0530
2000-07-28 12:00:00,2000/07/28 0634,2000-07-30 13:00:00,2,70 S,440.0,480.0,9.0,-71,550,2000/07/25 0330 H
2000-08-10 19:00:00,2000/08/10 0501,2000-08-11 21:00:00,1,50 S,430.0,480.0,12.0,-106,530,2000/08/06 2230
2000-08-12 05:00:00,2000/08/11 1845,2000-08-13 22:00:00,1,120 S,580.0,670.0,18.0,-235,830,2000/08/09 1630 H
2000-09-02 22:00:00,2000/09/02 2200,2000-09-03 13:00:00,1,40,420.0,450.0,8.0,-20,418,2000/08/29 1830?
2000-09-08 12:00:00,2000/09/08 1200,2000-09-10 10:00:00,3,50,450.0,500.0,5.0,-48,530,2000/09/05 0554
2000-09-17 21:00:00,2000/09/17 1657(A),2000-09-21 00:00:00,2,250 S,600.0,840.0,10.0,-201,,2000/09/15/16 (p)
2000-10-03 10:00:00,2000/10/03 0054,2000-10-05 03:00:00,1,60 S,400.0,460.0,14.0,-143,,
2000-10-05 13:00:00,2000/10/05 0326,2000-10-07 11:00:00,2,110 S,450.0,530.0,6.0,-182,756,2000/10/02 2026 H
2000-10-13 16:00:00,2000/10/12 2228,2000-10-14 17:00:00,1,120 S,400.0,460.0,12.0,-107,590,2000/10/09 2350 H
2000-10-28 21:00:00,2000/10/28 0954,2000-10-29 22:00:00,1,50 S,380.0,420.0,14.0,-127,565,2000/10/25 0826 H
2000-11-06 17:00:00,2000/11/06 0948,2000-11-08 03:00:00,2,110 S,510.0,610.0,20.0,-159,660,2000/11/3 1826 H
2000-11-08 13:00:00,2000/11/08 1200,2000-11-09 15:00:00,2,50,440.0,500.0,7.0,-36,,
2000-11-11 08:00:00,2000/11/11 0400(A),2000-11-12 00:00:00,2,110 S,790.0,910.0,7.0,-37,1200,(2000/11/09 1615)
2000-11-27 08:00:00,2000/11/26 1158,2000-11-28 03:00:00,2,150 S,560.0,630.0,10.0,-80,,2000/11/24 (p)
2000-11-28 11:00:00,2000/11/28 0530,2000-11-29 22:00:00,2,50 S,540.0,580.0,9.0,-119,720,2000/11/25/26 (p)
2000-12-22 03:00:00,2000/12/21 1200,2000-12-22 20:00:00,3W,40,290.0,330.0,4.0,-1,,
2000-12-23 00:00:00,2000/12/22 1925,2000-12-23 12:00:00,3,50,320.0,330.0,12.0,-62,380,2000/12/18 1150 H
2001-01-24 09:00:00,2001/01/23 1048,2001-01-26 07:00:00,2,140 S,400.0,550.0,4.0,-61,680,2001/01/20 2130 H (p)
2001-03-04 04:00:00,2001/03/03 1121,2001-03-05 02:00:00,2,50 S,440.0,520.0,8.0,-73,610,2001/02/28 1450
2001-03-19 17:00:00,2001/03/19 1114,2001-03-22 00:00:00,1,100 S,360.0,490.0,15.0,-149,520,2001/03/16 0350
2001-03-27 20:00:00,2001/03/27 0110(A),2001-03-28 17:00:00,2,80 S,610.0,650.0,12.0,-87,,
2001-03-28 17:00:00,2001/03/27 1747,2001-03-30 18:00:00,3,200 S,480.0,560.0,3.0,-51,850,2001/03/25 1706 H
2001-03-31 05:00:00,2001/03/31 0052,2001-03-31 22:00:00,3,200 S,640.0,710.0,33.0,-387,690,2001/03/28 1250 H
2001-04-01 04:00:00,2001/03/31 2200,2001-04-03 15:00:00,2,200,600.0,820.0,5.0,,700,2001/03/29 1026 H
2001-04-04 18:00:00,2001/04/04 1455,2001-04-05 12:00:00,2,90 S,650.0,780.0,9.0,-50,1020,2001/04/02 2206
2001-04-08 14:00:00,2001/04/08 1101,2001-04-09 04:00:00,3,100 S,740.0,780.0,13.0,-59,1050,2001/04/06 1930 H
2001-04-11 22:00:00,2001/04/11 1343,2001-04-13 07:00:00,2,230 S,640.0,740.0,14.0,-271,1290,2001/04/10 0530 H
2001-04-13 09:00:00,2001/04/13 0734,2001-04-14 12:00:00,1,200 S,730.0,830.0,9.0,-77,990,2001/04/11 1331 H
2001-04-15 17:00:00,2001/04/15 1700,2001-04-16 01:00:00,2W,0,500.0,510.0,4.0,-36,,
2001-04-18 12:00:00,2001/04/18 0046,2001-04-20 11:00:00,2,140 S,430.0,520.0,8.0,-114,,
2001-04-21 23:00:00,2001/04/21 1601,2001-04-23 03:00:00,1,50 S,350.0,390.0,11.0,-102,,
2001-04-28 14:00:00,2001/04/28 0501,2001-05-01 02:00:00,2,400 S,550.0,730.0,8.0,-47,1040,2001/04/26 1230 H
2001-05-03 11:00:00,2001/05/03 1100,2001-05-04 10:00:00,2W,0,380.0,390.0,8.0,-2,,
2001-05-07 19:00:00,2001/05/07 0800,2001-05-08 07:00:00,2,30,360.0,410.0,8.0,-25,,
2001-05-09 12:00:00,2001/05/08 1101,2001-05-10 22:00:00,2,50 S,430.0,560.0,8.0,-76,,
2001-05-11 13:00:00,2001/05/11 1300,2001-05-12 00:00:00,2W,0,430.0,430.0,8.0,-48,,
2001-05-28 03:00:00,2001/05/27 1459,2001-05-31 14:00:00,2,100 S,420.0,590.0,7.0,-42,,
2001-06-07 18:00:00,2001/06/07 0852(A),2001-06-08 07:00:00,1,50 S,390.0,430.0,9.0,-8,,
2001-06-27 03:00:00,2001/06/27 0300,2001-06-28 17:00:00,1,20,420.0,490.0,3.0,-18,,
2001-07-09 02:00:00,2001/07/08 1200,2001-07-11 04:00:00,2,30,400.0,460.0,5.0,-38,520,2001/07/05 0354
2001-07-13 17:00:00,2001/07/13 1700,2001-07-14 01:00:00,2,20,400.0,420.0,8.0,-4,,
2001-08-03 11:00:00,2001/08/03 0716,2001-08-03 14:00:00,3,60 S,420.0,440.0,10.0,-13,,
2001-08-15 05:00:00,2001/08/15 0500,2001-08-16 14:00:00,3W,0,390.0,450.0,5.0,-16,,
2001-08-17 20:00:00,2001/08/17 1103,2001-08-19 16:00:00,2,150 S,500.0,600.0,11.0,-105,620,2001/08/14 1601 H
2001-08-30 17:00:00,2001/08/30 1411,2001-08-31 10:00:00,3W,50 S,420.0,500.0,6.0,-40,,
2001-09-01 13:00:00,2001/09/01 1300,2001-09-02 22:00:00,2,0,360.0,410.0,5.0,-17,,
2001-09-13 18:00:00,2001/09/13 0231(W),2001-09-14 22:00:00,2,30 S,410.0,440.0,10.0,-57,,
2001-09-24 00:00:00,2001/09/23 2000,2001-09-24 22:00:00,3W,30,440.0,530.0,7.0,-73,570,2001/09/20 1931
2001-09-25 06:00:00,2001/09/25 0000,2001-09-25 20:00:00,2,30,380.0,400.0,5.0,-24,,
2001-09-29 11:00:00,2001/09/29 0940,2001-10-01 00:00:00,2,180 S,560.0,700.0,12.0,-66,790,2001/09/27 0454?
2001-10-01 08:00:00,2001/09/30 1924,2001-10-02 00:00:00,2,80 S,490.0,550.0,9.0,-148,710,2001/09/28 0854 H
2001-10-02 04:00:00,2001/10/01 2115(S),2001-10-02 12:00:00,2,40,490.0,520.0,8.0,-104,715,2001/09/29 1154
2001-10-02 14:00:00,2001/10/02 1200,2001-10-03 16:00:00,2,30,500.0,530.0,12.0,-166,,
2001-10-04 14:00:00,2001/10/04 1400,2001-10-05 19:00:00,3,0,420.0,470.0,3.0,,,
2001-10-12 04:00:00,2001/10/11 1701,2001-10-12 09:00:00,2,180 S,560.0,570.0,22.0,-71,780,2001/10/09 1130 H
2001-10-21 20:00:00,2001/10/21 1648,2001-10-25 10:00:00,1,250 S,460.0,680.0,9.0,-187,870,2001/10/19 1650 H
2001-10-27 03:00:00,2001/10/26 2200,2001-10-28 12:00:00,3,20,420.0,500.0,10.0,-27,417,2001/10/22 1826
2001-10-29 22:00:00,2001/10/28 0319,2001-10-31 13:00:00,2,150 S,360.0,510.0,5.0,-157,694,2001/10/25 1526
2001-10-31 20:00:00,2001/10/31 1348,2001-11-02 12:00:00,2,60 S,330.0,390.0,11.0,-106,,
2001-11-05 19:00:00,2001/11/05 1000,2001-11-06 06:00:00,2,30,420.0,430.0,18.0,-73,,
2001-11-06 12:00:00,2001/11/06 0152,2001-11-09 03:00:00,2,300 S,600.0,750.0,7.0,-292,1250,2001/11/04 1635 H
2001-11-19 22:00:00,2001/11/19 1815,2001-11-21 13:00:00,3W,130 S,430.0,570.0,6.0,-47,680,2001/11/17 0530 H
2001-11-24 14:00:00,2001/11/24 0656,2001-11-25 20:00:00,2,550 S,720.0,1040.0,14.0,-221,1320,2001/11/22 2330 H
2001-12-28 00:00:00,2001/12/28 0000,2001-12-29 12:00:00,2,10,360.0,370.0,8.0,-10,,
